,ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval
1703,GFT6TeQx_0U,30,40,"/m/01b9nn,/m/02rr_,/m/04rlf","['effects pedal', 'instrumental music', 'emotional', 'home audio', 'synth module effects', 'sound demo', 'harmony tones', 'amateur play', 'turning knobs', 'synth tones', 'tone generator', 'instrumental music', 'poor audio quality', 'haunting', 'eerie', 'synth key harmony', 'chords played', 'scary']",The song is an instrumental. The song is slow tempo with eerie sounds created by an effects module playing chords. The song is eerie and haunting . The audio quality is very poor.,1,False,True
1705,GG6XkHATIyw,90,100,"/m/018vs,/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/0fx80y",['bass guitarș string slapping technique'],The music excerpt features a bass guitar that plays with the string slapping technique. This passage sounds as if it's meant to show some practicing exercises.,2,False,True
1706,GHQlBD-6rkA,50,60,"/m/015lz1,/m/04rlf,/m/074ft,/m/07p78v5","['low quality', 'pop', 'echoing female vocal', 'punchy snare', 'shimmering open hat', 'simple hi hats', 'wide harmonizing female vocals', 'smooth bass', 'arpeggiated electric guitar solo melody', 'sustained strings progression', 'soft kick', 'compilation', 'claps', 'punchy kick', 'flat female vocal', 'synth keys melody', 'emotional', 'passionate', 'uplifting']","The low quality recording features a compilation of pop songs. The first song features an echoing female vocal sining, alongside wide harmonizing female vocals, over arpeggiated solo electric guitar melody, sustained strings progression, smooth bass, soft kick hits, punchy snare, simple hi hats and shimmering open hat. At the very end of the loop, there is a short snippet of the second song that consists of flat female vocals singing over claps, synth keys melody and punchy kick. It sounds emotional and passionate, even though the mix is bad.",4,True,True
1708,GJYhDjThTHM,30,40,"/m/02cjck,/m/04rlf,/m/07qsvvw","['epic', 'orchestral', 'string instruments', 'violins', 'cello', 'timpani', 'french horns', 'suspenseful', 'thrilling']","This is a thrilling orchestral piece that feels epic, suspenseful and intense. There are string instruments like violins and cellos, and timpani for percussion. There is one over-bearing vibrational sound that overwhelms the whole arrangement - it is played once and rings for three seconds.",3,True,True
1709,GLIXnXZEOxY,90,100,"/m/015lz1,/m/04rlf,/t/dd00004","['pop-ballad', 'acoustic piano', 'female singers', 'crowd cheering', 'amateur recording', 'slow tempo', 'sad']",An acoustic piano is playing a sad melody while two women are singing as a duo taking turns. Their voices have some reverb and in the background you can hear the crowd cheering. This song may be playing live on stage.,6,True,True
1711,GMtb7U-8IYM,30,40,"/m/04rlf,/t/dd00037","['low quality', 'noisy', 'crushed', 'distorted', 'live performance', 'choir', 'sustained strings', 'inaudible']","The low quality recording features a live performance that's barely audible and it consists of sustained strings and a choir. It sounds crushed, distorted and very noisy, as it was recorded with a broken microphone.",4,False,True
1712,GNjsxLdSwHI,30,40,"/m/01jnbd,/m/04rlf","['live performance', 'orchestra', 'classical', 'noisy', 'low quality', 'staccato strings melody', 'woodwinds melody', 'staccato brass section', 'solo low tuba melody', 'background music']","The low quality recording features a classical music played by orchestra that consists of staccato string melody, woodwinds melody, staccato brass melody and solo, low tuba melody. The recording is a bit noisy and it sounds like background music for old movies.",4,False,True
1713,GNu_hiHGEp0,40,50,"/m/04rlf,/m/07rn7sz,/t/dd00125","['hip-hop song', 'glass shattering sound', 'sound of throwing objects', 'programmed percussion', 'synth', 'bass', 'moderate tempo', 'no voices']",This hip-hop song features programmed percussion playing a hip-hop beat. The bass follows the root notes of the chords. Synth strings play chords. The sound of an object being thrown can be heard. The sound of shattering glass is also heard. This song appears in a game.,0,False,True
1715,GOujNXEtDmg,30,40,"/m/04rlf,/m/06j6l,/m/0glt670","['low quality', 'hip hop', 'reverberant vocal chant', 'boomy bass', 'punchy kick', 'slap snare', 'flat male vocal', 'shimmering hi hats', 'tinny percussive elements', 'weird funny repetitive percussion', 'groovy', 'background male ad libs', 'poor mix', 'boomy', 'muddy']","The low quality recording features a hip hop song that consists of flat male vocals, alongside background male ad libs, rapping over boomy bass, punchy kick, slap snare, shimmering hi hats, tinny percussive elements and weird, funny and repetitive percussion. It sounds groovy and boomy, but also muddy and poorly mixed.",4,False,True
1716,GPSqrciDLog,30,40,"/m/04rlf,/m/04wptg","['low quality recording', 'live recording', 'accordion song', 'acoustic guitar', 'double bass', 'tambourine', 'no voice', 'instrumental', 'fast tempo']",This live recording features an instrumental song. This Regional Mexican song features an accordion playing the main melody. This is accompanied by an acoustic guitar strumming chords. A double bass plays the bass notes. A tambourine acts as the percussion. This song is in an upbeat mood. The song can be played at the entrance of a carnival.,0,True,True
1719,GQbUpJFArKI,50,60,"/m/02x8m,/m/04rlf,/m/0gywn","['rock and roll', 'blues', 'male vocal', 'male back vocals', 'electric guitar', 'bass guitar', 'acoustic drums', 'american', 'repeated theme', 'simple tune', 'easygoing', 'groovy']",This is a rock and roll music piece. There is a male vocal singer singing as the lead while other back vocals sing rhythmic back vocals at a higher pitch than the lead. An electric guitar is playing a simple and repeated tune while there is a bass guitar in the background. The acoustic drums are playing a basic 4/4 rock beat with claps simultaneous with the snare hits. There is an easygoing atmosphere in this piece. It could be playing in the background of a rock bar. This piece could also work well in sports venues.,9,True,True
1720,GQbytKkt0tg,10,20,"/m/04rlf,/m/0dls3","['alternative/indie', 'passionate female vocal', 'arpeggiated electric guitar melody', 'passionate', 'emotional', 'sad', 'heartfelt']","The Alternative/Indie song features a passionate female vocalist singing over an arpeggiated electric guitar melody. It sounds passionate, emotional, heartfelt and sad.",4,False,True
1721,GQz_u0Vc8Os,30,40,"/m/04rlf,/m/07s8j8t,/m/07sbbz2","['soft rock', 'wide acoustic rhythm guitar', 'arpeggiated electric guitar melody', 'electric guitar solo melody', 'smooth bass guitar', 'soulful male vocal melody', 'energetic drums', 'soulful', 'emotional', 'passionate', 'energetic', 'drums fade in']","The Soft Rock song features a soulful male vocal melody over widely spread acoustic rhythm guitar, arpeggiated electric guitar melody and smooth bass. At the end of the loop there is a short snippet of the drop that consists of energetic drums and solo electric guitar melody. Right before the drop, the drums are slowly fading into the drop. Overall it sounds passionate, soulful, emotional and energetic.",4,False,True
1723,GSAMEMX_oAg,200,210,"/m/015lz1,/m/04rlf,/m/04szw,/m/07xzm","['pop music', 'acoustic', 'male vocal', 'female vocal', 'duet', 'simple tune', 'ukulele', 'easygoing', 'calming', 'romantic']",This is a pop music piece performed acoustically. The male and female vocals take turns singing melodically as a duet. The simple melody is being played by a ukulele. The aura of the song is very calm and easygoing. It could be used in the soundtrack of a teenage drama. The music could be playing in the background at a coffee house.,9,False,True
1731,GX-QhoihLeI,30,40,"/m/04rlf,/m/06h7j","['oman screaming', 'running sounds', 'chainsaw buzzing', 'chase sequence sounds', 'string section playing', 'dangerous', 'tense music', 'cellos playing tense lower harmony', 'female screaming sounds', 'horror movie soundtrack', 'ad jingle', 'unsettling', 'haunting', 'murderous theme', 'poor audio quality', 'huffing and puffing', 'drums playing furiously', 'chasing sou dsl']","The song is an instrumental with sounds of a woman screaming and running with huffing and puffing sounds. A chainsaw buzzes ominously , with a string section playing a scary and tense accompaniment along with a cello building the tension with a poignant harmony. The music is a horror movie soundtrack or an ad jingle. The song audio quality is very poor.",1,False,True
1732,GXLeUXSVFYU,30,40,"/m/018j2,/m/04rlf,/m/04rzd,/m/04szw,/m/0fx80y","['banjomusic', 'background-voices', 'amateur recording', 'faster tempo']",someone is strumming a melody on a banjo along with some chords. In the background you can hear people talking. This is an amateur recording. This song may be playing outside at a bonfire surrounded by friends and family.,6,False,True
1733,GYCfrx0ruz4,30,40,"/m/0145m,/m/0164x2,/m/04rlf,/m/08cyft","['low quality', 'exotic steel pan melody', 'punchy kick', 'clapping', 'groovy piano melody', 'groovy bass', 'tropical', 'exotic', 'energetic', 'mono']","The low quality recording features an instrumental cover that consists exotic steel pan melody, punchy kick hits layered with claps, groovy piano chord progression and groovy bass. It is in mono and it sounds a bit harsh, but energetic, tropical and exotic.",4,True,True
1734,GYx6HNQbP1w,30,40,"/m/0155w,/m/02sgy,/m/03lty,/m/04rlf,/m/06by7,/m/0dl5d","['instrumental musical', 'mysterious', 'medium tempo', 'string section harmony', 'keyboard harmony', 'guitar playing', 'shadow guitar bass line', 'steady drumming rhythm', 'rock music', 'amateur band', 'adventure', 'suspense', 'adrenaline rush', 'passionate', 'spirited', 'home video soundtrack', 'adventure sports documentary', 'documentary soundtrack', 'unexpected']","The song is an instrumental. The tempo is medium with a strong drumming rhythm, keyboard harmony, string synth harmony, guitar lead and a bass guitar shadowing the melody line in harmony. The song has rock music influences with a sense of mystery and adventure. The song is a soundtrack for an adventure sports documentary.",1,False,True
1736,GaNjXwElAUE,30,40,"/m/04rlf,/m/0l156b","['reggae', 'steeldrum', 'e-bass', 'e-guitar', 'acoustic drums', 'slow to medium tempo', 'good vibes']","An acoustic drum is playing a straight groove while an e-bass is playing a bassline that reminds of reggae. This feeling gets enhanced by a e-guitar strumming a short rhythmic chord on the offbeat giving the song its typical reggae vibe. On top of that, someone is playing a melody on a steeldrums. This song may be playing at beachbar.",6,False,True
1737,GbjtSTTEFK4,30,40,"/m/02p0sh1,/m/04rlf,/m/0dq0md","['karaoke', 'synthesized horns', 'pentatonic melody', 'mallet percussion', 'rolls', 'instrumental', 'happy', 'simple chord progression', 'simple beat']",Sounds like happy instrumental karaoke music featuring synthesized horns and a simple chord progression. There is a mallet percussion instrument playing rolls and following a pentatonic melody. Drums playing a simple beat.,8,True,True
1738,Gc8xf7CJiFY,240,250,"/m/02p0sh1,/m/04rlf,/m/04wptg","['low quality', 'traditional', 'shimmering tambourine', 'sizzling triangle', 'wide sustained strings melody', 'lead strings melody', 'wooden percussive elements', 'passionate', 'emotional', 'happy', 'fun']","The low quality recording features a traditional song that consists of a shimmering tambourine, sizzling triangle, wide sustained strings melody, lead strings melody and wooden percussive elements. It sounds passionate, emotional, happy and fun, like something you would hear at weddings in the East.",4,True,True
1741,GcbCOmNiVm8,0,10,"/m/04rlf,/m/07xzm","['acoustic guitar playing', 'out of tune guitar', 'off-pitch guitar playing', 'cocophony', 'live recording', 'home recording', 'off-tune notes', ""high pitched child's vocal"", ""falsetto child's vocal""]",This is a home recording. The guitar in this recording is being played off-pitch and no real chords are being played. The singer is a child who sings in falsetto.,3,False,True
1742,GcnLApOeCh0,30,40,"/m/01jg1z,/m/04rlf","['low quality', 'mono', 'phone recording', 'reverberant background music', 'electro', 'energetic', 'clapping', '4 on the floor kick', 'addictive violin melody']","The low quality recording features a reverberant background electro music that consists of claps, ""4 on the floor"" kick pattern and addictive violin melody. It is in mono and it sounds like it was recorded with a phone in a medium size room, as the music is playing through a speaker.",4,False,True
1743,GcqCHmHXEjo,30,40,"/m/02cjck,/m/04rlf,/m/05pd6","['instrumental', 'fast tempo', 'bright', 'gripping', 'compelling', 'delightful', 'commanding', 'enthralling', 'orchestra', 'bright trumpets', 'bow stringed instrument', 'cello', 'viola', 'vocalisation in background', 'burgeoning', 'instrumental ensemble', 'sonic treat', 'brass band', 'melodious violin symphony', 'enthusiastic drumming']","This music is instrumental . The tempo is fast with a burst of harmonious instrumentation. The music is orchestral with animated trumpets, melodious violin  symphony, enthusiastic drumming, piano accompaniment and male vocalisation in the background. The music is bright, lively, powerful, commanding, fluent, gripping ,compelling and a delight to the ears.",7,False,True
1744,Gde1fn1Y1uM,30,40,"/m/03lty,/m/04rlf,/m/05r6t,/m/0dl5d,/m/0dls3","['hard rock', 'glam rock', 'male voice', 'happy mood', 'distortion guitar', 'rock percussion', 'fast tempo', 'rock bass']","This hard rock song features a male voice singing the main melody. The song starts with a distortion guitar playing a riff. The percussion plays a simple beat in common time. Once the voice starts singing, the guitars play power chords using down strokes. The bass follows the root notes of the chords. The mood of this song is happy. This song can be played in a car chase sequence in a movie.",0,False,True
1745,GglIHiqClGM,30,40,"/m/011k_j,/m/04rlf","['instrumental', 'medium tempo', 'song introduction', 'tutorial', 'percussion instrumental', 'drum beats', 'vibrato', 'bass', 'ceremonial drum', 'bass drum', 'kick drum', 'rhythmic time', 'booming', 'resounding', 'march', 'low pitched', 'percussion instrument', 'deep sounding']","This music is a percussion instrumental. The tempo is medium fast with the drummer playing a groovy beat on the bass drum. The effect is low pitched loud, booming, resounding vibrato. There is no other instrument in this clip, so this could either be a tutorial or an introduction to a song.",7,False,True
1747,GiTmjE7az74,30,40,"/m/02cz_7,/m/04rlf,/m/0l14gg","['video game theme', 'no singer', 'instrumental', 'analog sounding', 'small keyboard', 'beatboxing', 'playful', 'cheerful', 'groovy']",This is a video game theme cover. The theme belongs to the Super Mario franchise. The main theme is being played on an analog sounding small keyboard. There is an added rhythmic background of beatboxing in this version. The atmosphere is playful. This piece could be used in the background of arcade gaming social media content.,9,False,True
1748,GinP_ZRgAoY,30,40,"/m/04rlf,/m/07pkxdp,/m/07s0s5r","['singer-songwriter', 'acoustic guitar', 'female voice singing', 'amateur recording', 'calm']",The audio contains someone playing an acoustic guitar while a female voice is singing. The performance sounds calming but there is a loud buzzing in the recording disturbing the atmosphere. This is an amateur recording. This song may be jamming at home.,6,False,True
1749,Gj6etuzTWlQ,30,40,"/m/04rlf,/t/dd00006,/t/dd00125","['low quality', 'harmonized kids vocals', 'noisy', 'mono', 'muffled flute melody', 'happy', 'fun']","The low quality recording features a harmonized kids' vocals singing over a muffled flute melody. The recording is very noisy and it is in mono, but regardless it sounds happy and fun.",4,False,True
1752,GmGWvBNO8JI,30,40,"/m/01glhc,/m/02sgy,/m/0342h,/m/04rlf,/m/0fx80y,/m/0g12c5","['jam', 'no singer', 'instrumental', 'single instrument', 'electric guitar', 'clean sounding', 'guitar solo', 'easygoing', 'simple tune']",This is an instrumental showcase jam. A clean sounding electric guitar solo is being played. The track has an easygoing aura to it. Parts of this jam can be picked and lifted to be used as clean guitar samples for a beat. It could also be used in advertisement jingles.,9,False,True
1753,GopccU3Am1w,20,30,"/m/039jq,/m/04rlf,/t/dd00128","['spooky glass melody', 'crowd chattering', 'noisy', 'low quality', 'live performance']","The low quality recording features a live performance of a spooky glass melody. The recording is very noisy, as there are crowd chattering noises in the background.",4,False,True
1755,GrbrWNohr6Y,30,40,"/m/04rlf,/m/07qv4k0","['female vocalist', 'slow tempo', 'static', 'growling sound', 'crickets', 'ambient outdoor sounds', 'rustling', 'mellow', 'soft', 'two tracks', 'outdoors', 'subtle electric guitar', 'metal being dragged', 'white noise', 'cricket chirping']","A female vocalist sings this mellow song. The tempo is slow with a subtle electric guitar accompaniment. The audio quality is inferior making it difficult to hear the song well. There is another track superimposed over the song which has sound so footsteps, metal being dragged, crickets, cricket chirping, breeze and some rustling. This is an audio of a song being played outdoors.",7,False,True
1756,Grtmre_r9yI,250,260,"/m/015lz1,/m/04rlf,/m/06j64v","['low quality', 'live performance', 'folk', 'short strings licks', 'muffled drums', 'harmonized male vocals', 'flat female vocal', 'groovy bass', 'groovy', 'energetic', 'wooden percussive elements']","The low quality recording features a live performance of a folk song that consists of flat female vocals, harmonizing low male vocals, muffled drums, some wooden percussive elements, groovy bass and short strings licks. It sounds energetic and groovy, but the drums are really poorly recorded.",4,False,True
1759,GuQFhmGqdog,62,72,"/m/015lz1,/m/01swy6,/m/04rlf,/m/074ft","['female vocalist', 'fast tempo', 'falsetto', 'high notes', 'resonator', 'people clapping', 'cheering', 'breeze', 'ambient nature sounds', 'energetic vocals', 'spirited drumming', 'vigorous banjo accompaniment', 'mandolin', 'fiddle', 'dobro', 'rapid singing', 'energetic', 'vocalisation', 'spirited', 'enthusiastic', 'normal voice to falsetto', 'rapid change in pitch']","A female vocalist sings this rather vigorous country song. The tempo is fast with vocalisation. The vocalist is yodelling vigorously and rhythmically to the accompaniment of an animated banjo, fiddle, resonator and mandolin harmony, vibrant drumming and.",7,False,True
1760,GuYRF0no7hw,30,40,"/m/018j2,/m/0342h,/m/04rlf,/m/04szw,/m/0fx80y","['plastic tapping sounds', 'crowd cheering', 'low quality', 'noisy', 'rock', 'electric guitar chords', 'video game']","The low quality recording features a rock song that consists of electric guitar chords, being played in a video game by plastic guitar, which makes plastic tapping noises. There are also some crowd cheering noises and the recording is very noisy overall.",4,False,True
1761,Guu30szkA-0,30,40,"/m/0283d,/m/04rlf,/m/07s72n","['drum & bass', 'electronic dance music', 'female vocal sample', 'melodic singing keyboard', 'electronic drums', 'bass', 'groovy', 'urban', 'danceable', 'modern sounding', 'very fast tempo']","This is a drum & bass music piece. There is a female vocal sample that is being played repetitively. The main theme is being played by a keyboard while there is a strong bass in the background. The rhythmic background consists of a very fast tempo electronic drum beat. The atmosphere is modern. This piece could be played at nightclubs, at drum & bass events and in DJ sets. It could also work well in the soundtrack of a futuristic movie or a car racing video game.",9,True,True
1763,GwTXkfuc5v8,30,40,"/m/04rlf,/m/07p78v5,/m/0glt670","['male vocalist', 'medium tempo', 'rap', 'raper', 'vocal riff', 'reverb', 'syncopated background harmony', 'hip-hop', 'pop rap', 'rhythmic patter', 'boomy bass lines', 'slick drumming', 'drum machine', 'digital drums', 'rhythmic', 'chanting', 'repetitive', 'passionate', 'insistent', 'keyboard accompaniment', 'synthesiser arrangements', 'electronic music', 'groovy', 'dance music', 'trap', 'trippy', 'youthful', 'female vocal backup']","A male vocalist sings this HIp-hop. The tempo is medium with subdued keyboard accompaniment, slick drumming, boomy bass drops, synthesised arrangements and vocal backup. The song is youthful; enthusiastic, passionate, insistent, repetitive,  groovy,rhythmic chanting with a dance groove. This song is Contemporary Hip-Hop/Rap.",7,False,True
1764,GwxSvUoYSZg,10,20,"/m/032n05,/m/04rlf","['cinematic', 'atmospheric', 'padsounds', 'modulated noises', 'digital strings', 'evolving', 'subbass', 'experimental', 'slow']","This recording is full of atmospheric sounds that are modulated rising and falling in pitch with liquid klick noises, white noise and a lot of reverb. These sounds are probably created with a synthesizer. A pad sound is playing long notes in the mid range while a soft subbass is underlining the strings. This composition may be playing in an underwater scene in a movie.",6,False,True
1770,H18aK9HhNSM,30,40,"/m/04rlf,/m/04szw,/m/07xzm","['low quality', 'live performance', 'fruity male vocal', 'country', 'ukulele orchestra chord progressions', 'smooth double bass', 'uptempo', 'energetic', 'passionate']","The low quality recording features a live performance of a country song played by ukulele orchestra, smooth double bass and sung by fruity male vocals. It is uptempo and it sounds energetic, even without drums, and passionate.",4,False,True
1771,H4rdJlSSt5Y,30,40,"/m/015lz1,/m/018j2,/m/0342h,/m/04rlf,/m/04rzd,/m/04szw,/m/0fx80y","['low quality', 'arpeggiated banjo melody', 'noisy', 'mono', 'flat female vocal', 'emotional', 'voice crack']","The low quality recording features a covered song with arpeggiated banjo melody and flat female vocal that is occasionally out of tune. The recording is noisy and in mono, as if it was recorded with a phone, but it is also emotional, regardless of the voice crack.",4,False,True
1772,H4tyvJJzSDk,30,40,"/m/04rlf,/m/07pkxdp","['high fidelity production', 'professionally recorded', 'movie music', 'intimate female vocal', 'fairy tale', 'delicate piano', 'slow tempo', 'orchestral string accompaniment', 'introspective', 'animated kids movie']","Professionally recorded music featuring an intimate female vocal, delicate piano, and orchestral string accompaniment. The tempo is slow, the production is high fidelity and the mood is an introspective one. Would be perfect in an animated kids movie.",8,False,True
1774,H6qzijVEqZQ,10,20,"/m/01jg1z,/m/04rlf","['pop funk', 'jingle', 'male vocal', 'melodic singing', 'electric guitar', 'bass guitar', 'acoustic drums', 'funky', 'easygoing', 'normal tempo', 'sound effects', 'breath', 'stamp', 'generic', 'easygoing']",This is a pop funk piece used as a jingle for an ad. There is a male vocalist singing melodically while the electric guitar is playing a catchy tune with the bass guitar playing a groovy bass line. A normal tempo acoustic drum beat provides the rhythmic background. There are a couple of sound effects in the end. The piece has an easygoing atmosphere. It is the perfect match for a jingle. It could also be used in DJ sets or remixes.,9,True,True
1775,H6rZwBc6aNM,30,40,"/m/04rlf,/m/07gxw,/m/07phhsh,/m/07s72n,/m/08cyft,/m/0ggx5q","['low quality', 'reverberant ""4 on the floor"" kick hits', 'suspenseful synth stab', 'filtered synth bass', 'short riser', 'electro', 'thin', 'poor mix']","The low quality recording features an electro song that consists of a reverberant ""4 on the floor"" kick pattern, followed by suspenseful synth stabs. At the very end of the loop there is a short riser, after which comes the snippet of a filtered synth bass. It sounds thin, as it was poorly mixed.",4,False,True
1776,HAEoz3VbaP8,0,10,"/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y","['ukulele', 'slow paced melody picking', 'amateur recording', 'calm']",Someone is playing a ukulele. The piece sounds calming as someone is picking the strings: At the beginning of the song you can hear some white noise. This is an amateur recording but the quality is not bad. This song may be playing a documentary showing landscapes in slow motion.,6,False,True
1779,HDSV7Pzq8CA,80,90,"/m/015lz1,/m/04rlf,/m/06rqw,/m/07brj,/m/0g293","['popmusic', 'e-guitars', 'drums', 'tambourine', 'male voices singing', 'mid range', 'e-bass', 'amateur recording', 'uptempo']",A drum is playing a four on the floor groove with a kick on every beat along to a bassline and a tambourine. Two e-guitars are strumming funky sounding chords. Male singers are singing a melody together in the mid-range. This song may be playing live at a local event.,6,False,True
1781,HEhogaw0vUg,30,40,"/m/015lz1,/m/028sqc,/m/04rlf,/m/064t9","['low quality', 'clapping', 'crowd cheering', 'pop', 'live performance', 'flat male vocal', 'flat female vocal', '4 on the floor kick pattern', 'electric guitar melody', 'exciting', 'energetic']","The low quality recording features a live performance of a pop song and it consists of flat female and male vocal rapping over ""4 on the floor"" kick pattern and electric guitar melody. There are some crowd clapping and cheering noises in the background. It sounds exciting and energetic.",4,False,True
1782,HEk4fx_XNNE,20,30,"/m/0342h,/m/04rlf,/m/04szw,/m/0b_fwt,/m/0fx80y","['knob turns', 'electric hum', 'increasing volume', 'strings making noises', 'plugging into the guitar', 'ambient room noise', 'echo tones', 'amplified guitar playing in rhythm', 'medium tempo', 'instrumental music', 'song intro', 'rock music', 'groovy music', 'youthful', 'energetic', 'passionate', 'rebellion', 'classic rock', 'rock guitar', 'electric buzz']","The song is an instrumental. The song is medium tempo with ambient room noises, like a volume knob turned up, a guitar being plugged in and the rhythmic strumming of an amplified distortion guitar. The song is energetic and passionate. The song is an introduction to a rock song.",1,False,True
1783,HFH9tcIK_PM,170,180,"/m/04rlf,/m/07p78v5","['female vocalist', 'fast tempo', 'distorted audio', 'syth pop', 'youthful', 'inspiring', 'powerful', 'passionate', 'emotional', 'vocal backup', 'vocalisation', 'feminist', 'feminism', 'female power', 'girl power', 'turn table effects', 'boomy bass drops', 'keyboard harmony', 'static', 'electroni music', 'boomy', 'thumping beats', 'inferior audio quality', 'muddled audio', 'muffled', 'synthesiser articulation', 'electronic music', 'digital instrumentation']","A female vocalist sings this enthusiastic song. The tempo is fast with keyboard harmony, infectious drumming, turntable effects, digital drumming, electronic music arrangements, boomy bass lines, vocal backup, vocalisation and synthesiser articulation. The song is passionate, emotional, powerful, impactful, engaging and inspiring with a punchy and youthful dance groove. This song is a powerful Synth Pop.",7,True,True
1784,HFVM5pVTwkM,150,160,"/m/015y_n,/m/04rlf","['blues/pop', 'groovy hi hats', 'punchy snare', 'tinny snare rolls', 'addictive brass melody', 'punchy kick', 'smooth bass', 'energetic', 'addictive', 'repetitive']","The Blues/Pop song features groovy hi hats, punchy snare and kick hits, tinny snare rolls in-between snare hits, addictive brass melody and smooth bass at the very end of the loop. It sounds a bit repetitive, but still addictive and energetic.",4,True,True
1786,HHTgjmgTV6c,30,40,"/m/03mb9,/m/04rlf,/m/07gxw,/m/07lnk,/m/08cyft,/m/0ggx5q,/m/0m0jc,/t/dd00035","['house', 'low quality', 'repetitive echoing male vocal', 'shimmering hi hats', 'bouncy claps', '""4 on the floor"" kick pattern', 'repetitive synth lead melody', 'energetic', 'groovy']","The low quality recording features a house song that contains echoing male vocal singing over shimmering hi hats, bouncy claps, ""4 on the floor"" kick pattern and repetitive synth lead melody. It sounds energetic and groovy.",4,True,True
1791,HLsRePLObfI,30,40,"/m/04rlf,/m/0l156b","['hand pan music', 'soloist', 'instrumental music', 'average audio quality', 'inspiring', 'heart felt', 'positive', 'motivational', 'relaxing playlist', 'hand pan demonstration', 'home music video fast tempo', 'emotional', 'spirited passionate', 'travel', 'emotional', 'passionate', 'groovy', 'new world', 'age of innocence', 'new world', 'discovery tones', 'mesmerising music']",The song is instrumental. The tempo is fast with a beautifully played hand pan arrangement by a soloist. The song is ethereal and innocent in its beauty. The audio quality is average.,1,False,True
1792,HLz3N5nG8fQ,30,40,"/m/015lz1,/m/028ght,/m/04rlf","['jazz/ballad', 'acoustic piano', 'acoustic drums', 'e-bass', 'e-guitar', 'male deep voice singing', 'crowd cheering and clapping', 'medium to uptempo', 'romantic']",An acoustic drum is playing a jazzy groove on the ride along with a bassline while an e-guitar is playing jazz chords with a lot of changes together with an acoustic piano rendering phrases with an uplifting melody. The singer's voice sounds low and romantic. This song may be playing while dancing with a partner.,6,False,True
1793,HMJe5jS0Yt4,30,40,"/m/03v3yw,/m/04rlf,/m/07gxw,/m/07s72n,/m/08cyft,/m/0ggx5q,/m/0m0jc","['electro swing', 'swing house', 'four on the floor', 'acoustic jazz piano sample', 'rhythm changes chord progression', 'female blues singer', 'synthesizer riser', 'ambient bell sounds', 'walking synth bassline', 'snare on backbeat']","An electro swing, or swing house track featuring a four on the floor kick pattern, acoustic jazz piano sample playing a classic rhythm changes chord progression, a female blues singer, synthesizer risers, ambient bell sounds, a walking synth bassline and a snare on backbeat. Would be fitting music for a modern day speakeasy.",8,False,True
1795,HNf9eHqDT1A,30,40,"/m/04rlf,/m/06cqb","['instrumental', 'medium fast tempo', 'synth pop', 'groovy', 'uncomplicated harmony', 'pleasant', 'harmonious', 'euphonious', 'rhythmic', 'keyboard harmony', 'steady drumming', 'electronic instrumentation', 'synthesiser arrangements', 'simple beat', 'simple melody', 'catchy', 'rhythmic', 'cymbals', 'tambourine beats', 'groovy bass']","This music is instrumental. The tempo is medium fast with a melodious keyboard harmony, steady drumming, groovy bass, synthesiser arrangements , electronically articulated sounds and tambourine beats . The melody is harmonious, pleasant, uncomplicated and well layered. This music is Synth Pop.",7,True,True
1796,HOIIp5NyFx0,20,30,"/m/03r5q_,/m/04rlf","['low quality', 'fun', 'happy', 'crowd cheering', 'flat male vocal', 'punchy kick', 'shimmering cymbals', 'short toms roll', 'groovy accordion melody', 'acoustic rhythm guitar', 'smooth bass guitar']","The low quality recording features a flat male vocal singing over crowd cheering sound, punchy kick, shimmering cymbals, groovy accordion melody, acoustic rhythm guitar chords and smooth bass guitar. There is a short toms roll before the bass drops. It sounds fun and happy.",4,False,True
1799,HQb2jhmw1BE,310,320,"/m/011k_j,/m/04rlf,/m/04szw,/m/05pd6,/m/0ggq0m","['classical', 'dynamic', 'orchestra', 'energetic orchestra drums', 'woodwinds', 'arpeggiated strings melody', 'shimmering brass melody', 'cinematic', 'epic']","The Classical song features a dynamic arrangement of energetic orchestra drums, woodwinds, arpeggiated strings melody and shimmering brass melody. It sounds cinematic and epic - like a background movie soundtrack.",4,False,True
1802,HS_ikHx4LIQ,190,200,"/m/02p0sh1,/m/04rlf","['low quality', 'hip hop', 'tinny muffled percussive elements', 'bright wide steel guitar melody', 'shimmering triangle', 'reverberant flute melody', 'claps', 'soft kick', 'groovy bass', 'mellow synth pad', 'dull', 'energetic', 'tropical', 'groovy']","The low quality recording features a hip hop song that consists bright, widely spread steel guitar melody, tinny muffled percussive elements, shimmering triangle, reverberant flute melody, claps, soft kick hits, mellow synth pad and groovy bass that glues everything together. It sounds kind of dull, but groovy, energetic and tropical - thanks to those flute and guitar melodies.",4,True,True
1805,HU7oqkJeItQ,0,10,"/m/0342h,/m/04rlf,/m/04szw,/m/07xzm,/m/0fx80y","['low quality', 'boomy steel guitar melody', 'aggressive strumming', 'reverberant', 'noisy', 'muddy', 'addictive']","The low quality recording a boomy steel guitar being aggressively strummed. The recording is noisy, reverberant and it sounds muddy, but regardless, the melody is addictive.",4,True,True
